Designator,Footprint,Quantity,Value,LCSC Part #
"38P-LEFT, 38P-RIGHTA, 38P-RIGHTB",HDR-TH_19P-P2.54-V-F,3,ZX-PM2.54-1-19PY,C7499335
C1,CAP-TH_BD10.0-P5.00-D1.0-FD,1,1500uF,
C2,C0402,1,1uF,C52923
C3,C0402,1,100nF,C1525
C4,C0402,1,1nF,C1523
"C6-1P-LEFT, C6-1P-RIGHT, S3-30P-LEFT, S3-30P-RIGHT",HDR-TH_15P-P2.54-V-F-1,4,BX-PM2.54-1-15PY,C18078136
DC1,DC-IN-TH_DC-470-2.1GP,1,DC-470-2.1GP,C194407
"EN, GND, GP0, GP1, GP10, GP11, GP3, GP36, GP39, GP6, GP7, GP8, GP9",PADPAD,13,PAD SMALL,
HOLE_GGE5988,Hole_gge5988,1,Hole_gge5988,
HOLE_GGE6018,Hole_gge6018,1,Hole_gge6018,
HOLE_GGE6033,Hole_gge6033,1,Hole_gge6033,
HOLE_GGE6048,Hole_gge6048,1,Hole_gge6048,
HOLE_GGE95769,Hole_gge95769,1,Hole_gge95769,
HUB75-POWER,CONN-TH_WJ126V-5.0-2P,1,WJ126V-5.0-2P,C8404
HUB75_DATA,IDC-TH_16P-P2.54_C3406,1,HDR-IDC-2.54-2X8P,C3406
PN-5180,CONN-TH_9P_P2.50_HCTL_HC-XHB-9A,1,HC-XHB-9A,C2845497
"QLEFT, QRIGHT",HDR-TH_18P-P2.54-V-F-R2-C9-S2.54,2,PM254-2-09-Z-8.5,C2897410
S,WSON-8_L2.0-W2.0-P0.50-TL-EP,1,TPS22975,C524777
